#Converted to CSV using handyfeeling.com on Tue May 18 2021 20:01:01 GMT-0500 (Central Daylight Time) 
0,70
83,100
166,70
250,100
333,70
417,100
500,70
583,100
667,70
750,100
834,70
917,100
1001,70
1084,100
1167,70
1251,100
1334,70
1418,100
1501,70
1584,100
1668,70
1751,100
1835,70
1918,100
2002,70
2085,100
2168,70
2252,100
2335,70
2419,100
2502,70
2585,100
2669,70
2752,100
2836,70
2919,100
3003,70
3086,100
3169,70
3253,100
3336,70
3420,100
3503,70
3586,100
3670,70
3753,100
3837,70
3920,100
4004,70
4087,100
4170,70
4254,100
4337,70
4421,100
4504,70
4587,100
4671,70
4754,100
4838,70
4921,100
5005,70
5088,100
5171,70
5255,100
5338,70
5422,100
5505,70
5588,100
5672,70
5755,100
5839,70
5922,100
6006,70
6089,100
6172,70
6256,100
6339,70
6423,100
6506,70
6589,100
6673,70
6756,100
6840,70
6923,100
7007,70
7090,100
7173,70
7257,100
7340,70
7424,100
7507,70
7590,100
7674,70
7757,100
7841,70
7924,100
8008,70
8091,100
8174,70
8258,100
8341,70
8425,100
8508,70
8591,100
8675,70
8758,100
8842,70
8925,100
9009,70
9092,100
9175,70
9259,100
9342,70
9426,100
9509,70
9592,100
9676,70
9759,100
9843,70
9926,100
10010,70
10093,100
10176,70
10260,100
10343,70
10427,100
10510,70
10593,100
10677,70
10760,100
10844,70
10927,100
11011,70
11094,100
11177,70
11261,100
11344,70
11428,100
11511,70
11594,100
11678,70
11761,100
11845,70
11928,100
12012,70
12095,100
12178,70
12262,100
12345,70
12429,100
12512,70
12595,100
12679,70
12762,100
12846,70
12929,100
13013,70
13096,100
13179,70
13263,100
13346,70
13430,100
13513,70
13596,100
13680,70
13763,100
13847,70
13930,100
14014,70
14097,100
14180,70
14264,100
14347,70
14431,100
14514,70
14597,100
14681,70
14764,100
14848,70
14931,100
15015,70
15098,100
15181,70
15265,100
15348,70
15432,100
15515,70
15598,100
15682,70
15765,100
15849,70
15932,100
16016,70
16099,100
16182,70
16266,100
16349,70
16433,100
16516,70
16599,100
16683,70
16766,100
16850,70
16933,100
17017,70
17100,100
17183,70
17267,100
17350,70
17434,100
17517,70
17600,100
17684,70
17767,100
17851,70
17934,100
18018,70
18101,100
18184,70
18268,100
18351,70
18435,100
18518,70
18601,100
18685,70
18768,100
18852,70
18935,100
19019,70
19102,100
19185,70
19269,100
19352,70
19436,100
19519,70
19602,100
19686,70
19769,100
19853,70
19936,100
20020,70
20103,100
20186,70
20270,100
20353,70
20437,100
20520,70
20603,100
20687,70
20770,100
20854,70
20937,100
21021,70
21104,100
21187,70
21271,100
21354,70
21438,100
21521,70
21604,100
21688,70
21771,100
21855,70
21938,100
22022,70
22105,100
22188,70
22272,100
22355,70
22439,100
22522,70
22605,100
22689,70
22772,100
22856,70
22939,100
23023,70
23106,100
23189,70
23273,100
23356,70
23440,100
23523,70
23606,100
23690,70
23773,100
23857,70
23940,100
24024,70
24107,100
24190,70
24274,100
24357,70
24441,100
24524,70
24607,100
24691,70
24774,100
24858,70
24941,100
25025,70
25108,100
25191,70
25275,100
25358,70
25442,100
25525,70
25608,100
25692,70
25775,100
25859,70
25942,100
26026,70
26109,100
26192,70
26276,100
26359,70
26443,100
26526,70
26609,100
26693,70
26776,100
26860,70
26943,100
27027,70
27110,100
27193,70
27277,100
27360,70
27444,100
27527,70
27610,100
27694,70
27777,100
27861,70
27944,100
28028,70
28111,100
28194,70
28278,100
28361,70
28445,100
28528,70
28611,100
28695,70
28778,100
28862,70
28945,100
29029,70
29112,100
29195,70
29279,100
29362,70
29446,100
29529,70
29612,100
29696,70
29779,100
29863,70
29946,100
30030,70
30113,100
30196,70
30280,100
30363,70
30447,100
30530,70
30613,100
30697,70
30780,100
30864,70
30947,100
31031,70
31114,100
31197,70
31281,100
31364,70
31448,100
31531,70
31614,100
31698,70
31781,100
31865,70
31948,100
32032,70
32115,100
32198,70
32282,100
32365,70
32449,100
32532,70
32615,100
32699,70
32782,100
32866,70
32949,100
33033,70
33116,100
33199,70
33283,100
33366,70
33450,100
33533,70
33616,100
33700,70
33783,100
33867,70
33950,100
34034,70
34117,100
34200,70
34284,100
34367,70
34451,100
34534,70
34617,100
34701,70
34784,100
34868,70
34951,100
35035,70
35118,100
35201,70
35285,100
35368,70
35452,100
35535,70
35618,100
35702,70
35785,100
35869,70
35952,100
36036,70
36119,100
36202,70
36286,100
36369,70
36453,100
36536,70
36619,100
36703,70
36786,100
36870,70
36953,100
37037,70
37120,100
37203,70
37287,100
37370,70
37454,100
37537,70
37620,100
37704,70
37787,100
37871,70
37954,100
38038,70
38121,100
38204,70
38288,100
38371,70
38455,100
38538,70
38621,100
38705,70
38788,100
38872,70
38955,100
39039,70
39122,100
39205,70
39289,100
39372,70
39456,100
39539,70
39622,100
39706,70
39789,100
39873,70
39956,100
40040,70
40123,100
40206,70
40290,100
40373,70
40457,100
40540,70
40623,100
40707,70
40790,100
40874,70
40957,100
41041,70
41124,100
41207,70
41291,100
41374,70
41458,100
41541,70
41624,100
41708,70
41791,100
41875,70
41958,100
42042,70
42125,100
42208,70
42292,100
42375,70
42459,100
42542,70
42625,100
42709,70
42792,100
42876,70
42959,100
43043,70
43126,100
43209,70
43293,100
43376,70
43460,100
43543,70
43626,100
43710,70
43793,100
43877,70
43960,100
44044,70
44127,100
44210,70
44294,100
